OTU_id,lineage,kingdom,genus,species
904444,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Radial-centric-basal-Coscinodiscophyceae|Coscinodiscus|Coscinodiscus+sp.,Eukaryota,Coscinodiscus,sp.
120681,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Thalassiosira,Eukaryota,Thalassiosira,NA
6569,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+inerme,Eukaryota,Collozoum,inerme
186984,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|21|Peridiniaceae|Peridinium_03,Eukaryota,Peridinium,NA
172937,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Oithona|Oithona+sp.,Eukaryota,Oithona,sp.
178315,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
53257,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|mangini,Eukaryota,Blastodinium,NA
123162,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gymnodiniales|28|Gymnodiniaceae|Gymnodinium_06,Eukaryota,Gymnodinium,NA
169158,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Dinophysiales|03|Dinophysiaceae|Phalacroma_02|sp.,Eukaryota,Phalacroma,NA
136541,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|08|Gonyaulacaceae|Alexandrium_01|sp.,Eukaryota,Alexandrium,NA
142700,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collosphaera|Collosphaera+globularis-huxleyi,Eukaryota,Collosphaera,globularis-huxleyi
149860,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+amoeboides,Eukaryota,Collozoum,amoeboides
106306,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+rostratus,Eukaryota,Chaetoceros,rostratus
83760,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+rostratus,Eukaryota,Chaetoceros,rostratus
214632,Eukaryota|Rhizaria|Radiolaria|Acantharea|Arthracanthida-Symphyacanthida|Arthracanthida-Symphyacanthida_X|Amphibelone|Amphibelone+anomala,Eukaryota,Amphibelone,anomala
94779,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|15|Gonyaulacaceae|Gonyaulax_03|polygramma,Eukaryota,Gonyaulax,NA
8767,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|26|Blastodiniaceae|Blastodinium_05|oviforme,Eukaryota,Blastodinium,NA
