"genus_1","genus_2","instability","weight"
"Silvanigrella","Paraclostridium",0,0.0160764808992675
"Silvanigrella","Haliscomenobacter",0,0.0160613026458595
"Ignatzschineria","Phreatobacter",0,0.0154688557693447
"Phreatobacter","Flavobacterium",0,0.015363836812975
"Runella","Luteimonas",0,0.0152983455287328
"Lysinibacillus","Runella",0,0.0151707583572549
"Lactobacillus","Yersinia",0,0.0151611065728193
"Peptostreptococcus","Gemmobacter",0,0.0151509086663628
"Defluviimonas","Chitinibacter",0,0.0147667525611225
"Paracoccus","Yersinia",0,0.0144361867590089
"Flavobacterium","Chitinibacter",0,0.014020310152722
"Tychonema","Undibacterium",0,0.0140016879332582
"Photobacterium","Acinetobacter",0,0.01398659797862
"Weissella","Photobacterium",0,0.0137033277605859
"Peptostreptococcus","Cetobacterium",0,0.0136494528860258
"Bacteroides","Haliscomenobacter",0,0.0135939126308135
"Pseudoduganella","ZOR0006",0,0.0135290464719701
"Flavobacterium","Acinetobacter",0,0.012902472072867
"Lactobacillus","Chitinimonas",0,0.0127431960031677
"Tychonema","Yersinia",0,0.0123713984130308
"Silvanigrella","Bosea",0,0.0120646075062357
"Defluviimonas","Aeromonas",0,0.0119426712713361
"Silvanigrella","Phreatobacter",0,0.0117570175231417
"Bacteroides","Paraclostridium",0,0.0116522419991431
"Phreatobacter","Undibacterium",0,0.0114365149111028
"Lactobacillus","Lysinibacillus",0,0.0113618026132649
"Bacteroides","Phreatobacter",0,0.0107671943482887
"Pseudoduganella","Crenobacter",0,0.0106732866655376
"Mycoplasma","Undibacterium",0,0.0101352274170762
"Cloacibacterium","Paucibacter",0,0.0101052300998814
"Yersinia","Mycoplasma",0,0.0100882351397756
"Peptostreptococcus","Plesiomonas",0,0.00986525295840469
"Peptostreptococcus","Aeromonas",0,0.00952775471336573
"Chitinimonas","Pseudomonas",0,0.00896425543474745
"Chitinimonas","Paucibacter",0,0.00889127530033215
"Peptostreptococcus","Fusobacterium",0,0.00846297128894771
"Lactobacillus","Luteimonas",0,0.00846055059790285
"Caenimonas","Luteimonas",0,0.00826278498201107
"Undibacterium","Paucibacter",0,0.00819836619543103
"Chitinimonas","Pseudoduganella",0,0.00786726321106168
"Ignatzschineria","Caenimonas",0,0.00769178098401017
"Photobacterium","Undibacterium",0,0.00735945010386766
"Bosea","Defluviimonas",0,0.0071077004851028
"Yersinia","Paraclostridium",0,0.00696849568988017
"Paracoccus","Undibacterium",0,0.00675021248687591
"Bacteroides","Bosea",0,0.00599475254797206
"Weissella","Pseudoduganella",0,0.0058220601285838
"Bosea","Luteimonas",0,0.00509209717656407
"Runella","Cloacibacterium",0,0.00448367799995197
"Phreatobacter","Yersinia",0,0.00312733237191231
"Haliscomenobacter","Rheinheimera",0,0.00311029653991259
"Caenimonas","Plesiomonas",0,0.00262156371125263
"Gemmobacter","Paucibacter",0,0.00240296038988846
"Cloacibacterium","ZOR0006",0,0.0018189150679707
"Ignatzschineria","Chitinimonas",0,0.0015978124184387
"Photobacterium","Shewanella",0,0.00157909968547056
"Silvanigrella","Gemmobacter",0,0.000416076299631665
"Photobacterium","Cetobacterium",0,0.000226917308180122
"Bosea","A-N-P-R",0.0198,0.0315587189754787
"Fluviicola","Pseudoduganella",0.0198,0.00426964036666318
"Paraclostridium","Pseudomonas",0.0392,-0.0920655520028092
"Aurantisolimonas","Mycoplasma",0.1128,-0.0624654728490807
"A-N-P-R","Plesiomonas",0.2408,-0.0721970511689847
